"StichtagDatJahr","DatenstandCd","AnzBestWir","AnzGebuWir","geb_rate"
1934,"V",315864,4150,13.1386
1935,"V",317157,4222,13.312
1936,"V",317712,3949,12.4295
1937,"V",318926,3736,11.7143
1938,"V",326979,3836,11.7316
1939,"V",333984,3808,11.4017
1940,"V",334026,4069,12.1817
1941,"V",336531,4926,14.6376
1942,"V",339721,5273,15.5216
1943,"V",345819,5547,16.0402
1944,"V",351679,5769,16.4042
1945,"V",357381,6039,16.8979
1946,"V",367171,5937,16.1696
1947,"V",377087,5738,15.2166
1948,"V",383568,5423,14.1383
1949,"V",386003,5322,13.7875
1950,"V",389573,5432,13.9435
1951,"V",396260,5282,13.3296
1952,"V",403625,5600,13.8743
1953,"V",408544,5698,13.9471
1954,"V",413044,5707,13.8169
1955,"V",417351,5899,14.1344
1956,"V",420489,5818,13.8363
1957,"V",426349,5941,13.9346
1958,"V",431242,6073,14.0826
1959,"V",434080,6132,14.1264
1960,"V",437273,6084,13.9135
1961,"V",439322,6147,13.992
1962,"V",440180,6034,13.708
1963,"V",439090,6002,13.6692
1964,"V",437630,5746,13.1298
1965,"V",433865,5582,12.8658
1966,"V",431533,5248,12.1613
1967,"V",430594,5093,11.8278
1968,"V",430155,4777,11.1053
1969,"V",425117,4343,10.216
1970,"V",417972,4150,9.9289
1971,"V",412169,3874,9.3991
1972,"V",407647,3687,9.0446
1973,"V",401577,3365,8.3795
1974,"V",396261,3220,8.126
1975,"V",389613,3028,7.7718
1976,"V",382999,2880,7.5196
1977,"V",379635,2871,7.5625
1978,"V",376447,2882,7.6558
1979,"V",374221,2893,7.7307
1980,"V",370618,2953,7.9678
1981,"V",368171,2989,8.1185
1982,"V",366340,3076,8.3966
1983,"V",363652,2994,8.2331
1984,"V",361493,2984,8.2547
1985,"V",359084,2953,8.2237
1986,"V",358873,2986,8.3205
1987,"V",358042,2942,8.2169
1988,"V",357360,3036,8.4956
1989,"V",355901,3044,8.5529
1990,"V",356352,3046,8.5477
1991,"V",360875,3342,9.2608
1992,"V",361488,3406,9.4222
1993,"V",360898,3400,9.4209
1994,"V",360848,3483,9.6523
1995,"V",360826,3419,9.4755
1996,"V",359648,3430,9.5371
1997,"V",358594,3459,9.646
1998,"V",359073,3455,9.622
1999,"V",360704,3489,9.6728
2000,"V",360980,3577,9.9091
2001,"V",362042,3472,9.59
2002,"V",364558,3553,9.746
2003,"V",364528,3629,9.9553
2004,"V",364977,3791,10.387
2005,"V",366809,3895,10.6186
2006,"V",370062,4029,10.8874
2007,"V",376815,4119,10.9311
2008,"V",380499,4349,11.4297
2009,"V",382906,4639,12.1152
2010,"V",385468,4588,11.9024
2011,"V",390082,4760,12.2026
2012,"V",394012,4678,11.8727
2013,"V",398575,4920,12.344
2014,"V",404783,5145,12.7105
2015,"V",410404,5191,12.6485
2016,"V",415682,5176,12.4518
2017,"V",423310,5240,12.3786
2018,"V",428737,5212,12.1566
2019,"V",434008,5134,11.8293
2020,"V",434736,5133,11.8072
2021,"V",436332,5261,12.0573
2022,"V",443037,4538,10.2429
2023,"D",447082,4475,10.0093
