"StichtagDatJahr","StatZoneSort","StatZoneLang","QuarSort","QuarLang","AnzBestWir","AnzGebuWir","Geburtenrate_promille"
2023,1101,"Zähringerstrasse",11,"Rathaus",595,1,1.68067226890756
2023,1102,"Prediger",11,"Rathaus",1045,5,4.78468899521531
2023,1103,"Grossmünster",11,"Rathaus",956,5,5.23012552301255
2023,1104,"Oberdorf",11,"Rathaus",747,5,6.69344042838018
2023,1203,"Bellevue",12,"Hochschulen",267,1,3.74531835205992
2023,1301,"Schipfe",13,"Lindenhof",505,3,5.94059405940594
2023,1302,"Münsterhof",13,"Lindenhof",491,6,12.2199592668024
2023,1402,"Sihlporte",14,"City",109,6,55.045871559633
2023,1403,"Selnaustrasse",14,"City",617,2,3.24149108589951
2023,2101,"Bahnhof Wollishofen",21,"Wollishofen",536,5,9.32835820895522
2023,2102,"Bellariastrasse",21,"Wollishofen",3633,64,17.6162950729424
2023,2103,"Muggenbühl",21,"Wollishofen",1940,17,8.76288659793814
2023,2104,"Morgental",21,"Wollishofen",1405,14,9.9644128113879
2023,2105,"Manegg",21,"Wollishofen",3004,60,19.9733688415446
2023,2107,"Auf der Egg",21,"Wollishofen",1321,12,9.08402725208175
2023,2108,"Kalchbühl",21,"Wollishofen",2984,18,6.03217158176943
2023,2109,"Entlisberg",21,"Wollishofen",4086,39,9.54478707782672
2023,2110,"Verenastrasse",21,"Wollishofen",1214,14,11.5321252059308
2023,2111,"Seeblickstrasse",21,"Wollishofen",832,8,9.61538461538461
2023,2301,"Höckler",23,"Leimbach",2040,21,10.2941176470588
2023,2302,"Marbachweg",23,"Leimbach",1736,27,15.552995391705
2023,2303,"Sihlweidstrasse",23,"Leimbach",2647,20,7.55572346052134
2023,2401,"Parkring",24,"Enge",1345,22,16.35687732342
2023,2402,"Kongresshaus",24,"Enge",988,15,15.1821862348178
2023,2403,"Belvoir-Park",24,"Enge",1209,20,16.5425971877584
2023,2404,"Museum Rietberg",24,"Enge",3388,47,13.8724911452184
2023,2405,"Rieterplatz",24,"Enge",2673,46,17.2091283202394
2023,2406,"Gartenstrasse",24,"Enge",432,5,11.574074074074
2023,3101,"Höfliweg",31,"Alt-Wiedikon",4512,37,8.20035460992907
2023,3102,"Goldbrunnenplatz",31,"Alt-Wiedikon",2458,34,13.8323840520748
2023,3103,"Gotthelfstrasse",31,"Alt-Wiedikon",1947,24,12.326656394453
2023,3104,"Manesseplatz",31,"Alt-Wiedikon",3335,39,11.6941529235382
2023,3105,"Binz",31,"Alt-Wiedikon",2445,25,10.2249488752556
2023,3106,"Saalsporthalle",31,"Alt-Wiedikon",3418,35,10.2399063779988
2023,3301,"Heuried",33,"Friesenberg",1288,15,11.6459627329192
2023,3302,"Gehrenholz",33,"Friesenberg",2492,12,4.81540930979133
2023,3303,"Uetliberg",33,"Friesenberg",2140,6,2.803738317757
2023,3304,"Strassenverkehrsamt",33,"Friesenberg",1485,7,4.71380471380471
2023,3305,"Albisgüetli",33,"Friesenberg",1558,12,7.70218228498074
2023,3306,"Triemli",33,"Friesenberg",2119,7,3.30344502123643
2023,3401,"Schaufelbergerstrasse",34,"Sihlfeld",3314,30,9.05250452625226
2023,3402,"Friedhof Sihlfeld",34,"Sihlfeld",1678,15,8.93921334922526
2023,3403,"Brahmsstrasse",34,"Sihlfeld",3150,40,12.6984126984127
2023,3404,"Fritschistrasse",34,"Sihlfeld",2785,21,7.54039497307001
2023,3405,"Idaplatz",34,"Sihlfeld",3500,31,8.85714285714285
2023,3406,"Zwinglihaus",34,"Sihlfeld",3248,40,12.3152709359605
2023,3407,"Bahnhof Wiedikon",34,"Sihlfeld",2257,36,15.9503766061143
2023,3408,"Sihlhölzli",34,"Sihlfeld",1821,45,24.7116968698517
2023,4101,"Kalkbreite",41,"Werd",2083,19,9.12145943350936
2023,4102,"Werdplatz",41,"Werd",972,15,15.4320987654321
2023,4103,"Schöntalstrasse",41,"Werd",1595,27,16.9278996865203
2023,4201,"Schöneggplatz",42,"Langstrasse",2059,10,4.85672656629431
2023,4202,"Bäckeranlage",42,"Langstrasse",1512,5,3.3068783068783
2023,4203,"Wengi",42,"Langstrasse",3216,33,10.2611940298507
2023,4204,"Bezirksgebäude",42,"Langstrasse",412,4,9.70873786407767
2023,4205,"Volkshaus",42,"Langstrasse",2106,20,9.49667616334283
2023,4206,"Kaserne",42,"Langstrasse",2677,31,11.5801270078446
2023,4401,"Schlachthof",44,"Hard",2361,27,11.4358322744599
2023,4402,"Hardau",44,"Hard",3413,21,6.15294462349839
2023,4403,"Bullingerhof",44,"Hard",2958,28,9.46585530764029
2023,4404,"Lochergut",44,"Hard",1993,16,8.02809834420471
2023,4405,"Güterbahnhof",44,"Hard",2587,32,12.3695400077309
2023,5101,"Josefswiese",51,"Gewerbeschule",2614,18,6.88599846977811
2023,5102,"Quellenstrasse",51,"Gewerbeschule",3507,34,9.69489592244083
2023,5103,"Kornhaus",51,"Gewerbeschule",661,3,4.53857791225416
2023,5104,"Berufsschulen",51,"Gewerbeschule",264,1,3.78787878787878
2023,5105,"Ackerstrasse",51,"Gewerbeschule",1726,18,10.4287369640787
2023,5106,"Konradstrasse",51,"Gewerbeschule",917,9,9.81461286804798
2023,5201,"Hardturm",52,"Escher Wyss",2183,28,12.8263857077416
2023,5202,"Technopark",52,"Escher Wyss",2573,38,14.7687524290711
2023,5203,"Neue Hard",52,"Escher Wyss",1279,13,10.1641907740422
2023,6101,"Nordheim",61,"Unterstrass",1897,23,12.1244069583553
2023,6102,"Kiefernweg",61,"Unterstrass",1919,14,7.29546638874413
2023,6103,"Allenmoos",61,"Unterstrass",826,16,19.3704600484261
2023,6104,"Radio-Studio",61,"Unterstrass",1228,10,8.14332247557003
2023,6105,"Steinkluppe",61,"Unterstrass",2213,17,7.68187980117487
2023,6106,"Seminarstrasse",61,"Unterstrass",1703,10,5.87199060481503
2023,6107,"Guggach",61,"Unterstrass",2615,25,9.56022944550669
2023,6108,"Scheuchzerstrasse",61,"Unterstrass",3131,31,9.9009900990099
2023,6109,"Irchel",61,"Unterstrass",1912,15,7.84518828451883
2023,6110,"Weinbergstrasse",61,"Unterstrass",1629,21,12.891344383057
2023,6111,"Krone",61,"Unterstrass",2607,35,13.4253931722286
2023,6112,"Drahtschmidli",61,"Unterstrass",1273,5,3.92772977219167
2023,6113,"Beckenhof",61,"Unterstrass",1848,21,11.3636363636363
